entity1,entity1_type,relation,entity2,entity2_type,pdf_name,source
monkeypox virus,disease,structural perturbation,mutation,measurement,PMC10446231,"interestingly, the monkeypox virus strain causing the current epidemic of the disease in nonendemic states probably branched from the monkeypox virus that caused an outbreak in nigeria in 2018–19 and has far more mutations than would be anticipated, some of which increase transmission [13]."
monkeypox virus,disease,thermoregulatory effect,temperature regulation,other,PMC10446231,"monkeypox was initially detected in colonies of monkeys held for research in 1958 following two outbreaks of a condition resembling pox [9, 10]."
monkeypox virus,disease,produce,viral particles,other,PMC10446231,monkeypox is a double-stranded dna virus with an envelope and is a member of the poxviridae family.
monkeypox virus,disease,protection,immune system,other,PMC10446231,"monkeypox was initially detected in colonies of monkeys held for research in 1958 following two outbreaks of a condition resembling pox [9, 10]."
monkeypox virus,disease,reduction,immune response,other,PMC10446231,"monkeypox was initially detected in colonies of monkeys held for research in 1958 following two outbreaks of a condition resembling pox [9, 10]."
monkeypox virus,disease,impairment,host defense mechanisms,other,PMC10446231,"monkeypox was initially detected in colonies of monkeys held for research in 1958 following two outbreaks of a condition resembling pox [9, 10]."
monkeypox virus,disease,correlation,mutation rate,measurement,PMC10446231,"it is found that the nucleotide mutation rates are decreasing, and the balance between bi-directional rates are maintained."
monkeypox virus,disease,promotion,viral evolution,other,PMC10446231,"interestingly, the monkeypox virus strain causing the current epidemic of the disease in nonendemic states probably branched from the monkeypox virus that caused an outbreak in nigeria in 2018–19 and has far more mutations than would be anticipated, some of which increase transmission [13]."
...,...,...,...,...,PMC10463365,...
braf mutation,gene,molecular interaction or relation,sessile serrated adenoma,disease,PMC10463889,to investigate the expression of ebv products and frequency of gallstone disease (gd) among different microsatellite status in colorectal cancer (crc) with brafv600e mutation.
braf mutation,gene,correlation,microsatellite instability,phenotype,PMC10463889,braf mutation and msi were independent risk factors of tnm stage.
braf mutation,gene,correlation,right colon,location,PMC10463889,braf mutation was significantly more frequent in the right crc.
braf mutation,gene,correlation,gallstone disease,disease,PMC10463889,the frequency of gd was higher in crc patients than in general population.
braf mutation,gene,correlation,kras mutation,gene,PMC10463889,the kras mutation rate in the braf-wild-type group was significantly higher than that in the braf mutation group.
braf mutation,gene,correlation,mlh1 promoter methylation,gene,PMC10463889,"braf mutations of crc are mostly characterized by high levels of cpg island methylator phenotype (cimp) of the gene promoter, mainly caused by mismatch repair gene mlh-1 promoter methylation."
braf mutation,gene,correlation,tp53 mutation,gene,PMC10463889,"in the braf-positive mss group, all 3 patients with complete data were tp53 mutation positive."
braf mutation,gene,correlation,msi,phenotype,PMC10463889,braf mutation and msi were independent risk factors of tnm stage.
braf mutation,gene,correlation,advanced tnm stage,phenotype,PMC10463889,braf mutation and msi were independent risk factors of tnm stage.
braf mutation,gene,correlation,gallstone disease,disease,PMC10463889,the frequency of gd in mss crc with brafv600e mutation is significantly higher than that in the general population.
braf mutation,gene,correlation,proximal colon,location,PMC10463889,braf mutations are derived from sessile serrated adenoma (ssad) of the proximal colon.
braf mutation,gene,correlation,mlh1 hypermethylation,gene,PMC10463889,"braf mutations of crc are mostly characterized by high levels of cpg island methylator phenotype (cimp) of the gene promoter, mainly caused by mismatch repair gene mlh-1 promoter methylation."
braf mutation,gene,correlation,fxr function,gene,PMC10463889,downregulation of the farnesoid x receptor promotes colorectal tumorigenesis by facilitating enterotoxigenic bacteroides fragilis colonization.
braf mutation,gene,correlation,bile acids,lipid signaling molecule,PMC10463889,"bile acids (bas), particularly secondary bas, can cause oxidative stress, dna damage, apoptosis, and mutation and were speculated to be strong carcinogens or promoters of crc."
braf mutation,gene,correlation,epstein-barr virus,pathogen,PMC10463889,"ebv plays a role in crc, but is not a determinant of different microsatellite status in crc with brafv600e mutation."
braf mutation,gene,correlation,mlh1 promoter,gene,PMC10463889,"braf mutations of crc are mostly characterized by high levels of cpg island methylator phenotype (cimp) of the gene promoter, mainly caused by mismatch repair gene mlh-1 promoter methylation."
braf mutation,gene,correlation,msi,phenotype,PMC10463889,braf mutation and msi were independent risk factors of tnm stage.
braf mutation,gene,correlation,advanced tnm stage,phenotype,PMC10463889,braf mutation and msi were independent risk factors of tnm stage.
braf mutation,gene,correlation,gallstone disease,disease,PMC10463889,the frequency of gd in mss crc with brafv600e mutation is significantly higher than that in the general population.
braf mutation,gene,correlation,proximal colon,location,PMC10463889,braf mutations are derived from sessile serrated adenoma (ssad) of the proximal colon.
braf mutation,gene,correlation,mlh1 hypermethylation,gene,PMC10463889,"braf mutations of crc are mostly characterized by high levels of cpg island methylator phenotype (cimp) of the gene promoter, mainly caused by mismatch repair gene mlh-1 promoter methylation."
braf mutation,gene,correlation,fxr function,gene,PMC10463889,downregulation of the farnesoid x receptor promotes colorectal tumorigenesis by facilitating enterotoxigenic bacteroides fragilis colonization.
braf mutation,gene,correlation,bile acids,lipid signaling molecule,PMC10463889,"bile acids (bas), particularly secondary bas, can cause oxidative stress, dna damage, apoptosis, and mutation and were speculated to be strong carcinogens or promoters of crc."
braf mutation,gene,correlation,epstein-barr virus,pathogen,PMC10463889,"ebv plays a role in crc, but is not a determinant of different microsatellite status in crc with brafv600e mutation."
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
...,...,...,...,...,PMC10464357,...
camptothecin,non-coding rna,produce,alternaria burnsii ncim 1409,cell,PMC10480469,the study provides key insights into camptothecin biosynthesis in this recently discovered endophyte.
camptothecin,non-coding rna,produce,camptotheca acuminata,plant,PMC10480469,camptothecin is an important anticancer alkaloid produced by particular plant species.
camptothecin,non-coding rna,produce,nothapodytes nimmoniana,plant,PMC10480469,nothapodytes nimmoniana is a major camptothecin-producing plant species.
camptothecin,non-coding rna,bind,dna topoisomerase-i,protein,PMC10480469,"camptothecin binds to the dna topoisomerase-i, stalls the replication process, and causes cell death."
camptothecin,non-coding rna,act,s-phase of the cell cycle,phenotype,PMC10480469,camptothecin acts only during the s-phase of the cell cycle.
camptothecin,non-coding rna,bind,strictosidine synthase,protein,PMC10480469,"the steps of the pathway leading to camptothecin, after the pictet spengler reaction catalyzed by str, have eluded researchers so far."
camptothecin,non-coding rna,produce,monoterpene indole alkaloids (mias),lipid signaling molecule,PMC10480469,camptothecin is a monoterpene indole alkaloid.
camptothecin,non-coding rna,resist,dna topoisomerase-i,protein,PMC10480469,"camptothecin resistance and camptothecin production in camptothecin-producing plants as well as non-camptothecin-producing fungi, both have some of the camptothecin resistance conferring amino acid residues."
camptothecin,non-coding rna,produce,alternaria burnsii ncim 1409,cell,PMC10480469,alternaria burnsii ncim 1409 is a sustainable producer of camptothecin.
camptothecin,non-coding rna,produce,xylaria sp. m71,cell,PMC10480469,xylaria sp. m71 produces 10-hydroxycamptothecin.
camptothecin,non-coding rna,produce,phomopsis sp.,cell,PMC10480469,camptothecin-producing fungus phomopsis sp. isolated from n. nimmoniana.
camptothecin,non-coding rna,produce,trichoderma atroviride ly357,cell,PMC10480469,trichoderma atroviride ly357 is a stable producer of camptothecin up to 8 subculture cycles.
camptothecin,non-coding rna,produce,diaporthe sp. f18,cell,PMC10480469,diaporthe sp. f18 is a stable producer of camptothecin up to 6 subculture cycles.
camptothecin,non-coding rna,produce,fusarium solani,cell,PMC10480469,fusarium solani is a gradual producer of camptothecin with attenuation observed from 1st to 7th subculture.
camptothecin,non-coding rna,produce,penicillium aurantiogriseum nrrl 62431,cell,PMC10480469,penicillium aurantiogriseum nrrl 62431 is a paclitaxel-producing endophytic fungus.
camptothecin,non-coding rna,produce,alternaria sp.,cell,PMC10480469,alternaria sp. produces camptothecin.
camptothecin,non-coding rna,produce,alternaria burnsii ncim 1409,cell,PMC10480469,alternaria burnsii ncim 1409 is a sustainable producer of camptothecin.
camptothecin,non-coding rna,produce,xylaria sp. m71,cell,PMC10480469,xylaria sp. m71 produces 10-hydroxycamptothecin.
camptothecin,non-coding rna,produce,phomopsis sp.,cell,PMC10480469,camptothecin-producing fungus phomopsis sp. isolated from n. nimmoniana.
camptothecin,non-coding rna,produce,trichoderma atroviride ly357,cell,PMC10480469,trichoderma atroviride ly357 is a stable producer of camptothecin up to 8 subculture cycles.
camptothecin,non-coding rna,produce,diaporthe sp. f18,cell,PMC10480469,diaporthe sp. f18 is a stable producer of camptothecin up to 6 subculture cycles.
camptothecin,non-coding rna,produce,fusarium solani,cell,PMC10480469,fusarium solani is a gradual producer of camptothecin with attenuation observed from 1st to 7th subculture.
camptothecin,non-coding rna,produce,penicillium aurantiogriseum nrrl 62431,cell,PMC10480469,penicillium aurantiogriseum nrrl 62431 is a paclitaxel-producing endophytic fungus.
camptothecin,non-coding rna,produce,alternaria sp.,cell,PMC10480469,alternaria sp. produces camptothecin.
camptothecin,non-coding rna,produce,alternaria burnsii ncim 1409,cell,PMC10480469,alternaria burnsii ncim 1409 is a sustainable producer of camptothecin.
carotenoid esterification,phenotype,molecular interaction or relation,xat-7a1,gene,PMC10481513,"in this work, xat-7a1 is identified as the gene responsible for carotenoid esterification in durum wheat."
carotenoid esterification,phenotype,molecular interaction or relation,xat-7a1,gene,PMC10481513,"until recently, no carotenoid esters have been identified in significant proportions in durum wheat grains, and interspecific breeding programs have been started to transfer esterification ability from common wheat and hordeum chilense."
xat-7a1,gene,phenotypic consequence,high levels of carotenoid esters (diesters and monoesters) production,phenotype,PMC10481513,"type 1 copies, associated with high levels of carotenoid esters (diesters and monoesters) production and high expression in grain development;"
xat-7a1,gene,phenotypic consequence,low levels of carotenoid esters (monoesters),phenotype,PMC10481513,"type 2 copies, present in landraces with low levels of carotenoid esters (monoesters) or no esters;"
xat-7a1,gene,structural perturbation,zero-ester phenotypes,phenotype,PMC10481513,"type 3 copies, without the signal peptide, resulting in zero-ester phenotypes."
xat-7a1,gene,indirect effect on gene expression,"genomic sequencing, expression analysis, copy number variation and genetic and qtl mapping",method,PMC10481513,"results candidate genes for carotenoid esterification in durum wheat a common genetic mechanism for carotenoid esterification has been proposed for triticeae species [29, 31]."
xat-7a1,gene,phenotypic consequence,necessary step to make the carotenoid esterification ability available for durum and bread wheat breeding,phenotype,PMC10481513,"the identification of xat-7a1 is a necessary step to make the carotenoid esterification ability available for durum and bread wheat breeding, which should be focused on the type 1 xat-7a1 haplotype, which may be assessed as a single gene since xat-7a1 copies are inherited together."
photoperiod,other,indirect effect,gene expression,gene,PMC10497145,"photoperiod, or daylength, is a robust seasonal cue that is measured by organisms ranging from algae [1] and fungi [2], to higher plants [3] and vertebrates [4]. this circannual signal allows the anticipation of environmental changes and thus the coordination of long-term developmental and reproductive processes, such as tuberization in potatoes [5] and maturation of animal gonads [6]."
photoperiod,other,indirect effect,gene expression,gene,PMC10497145,"lengthening or shortening of photoperiod beyond a normal range seen in a 24-h day can cause a distinct stress response in plants [7,8]. in humans, photoperiod influences mood variation and related conditions like seasonal affective disorder [9]."
constans (co),protein,activation,flowering locus t (ft),gene,PMC10497145,"in arabidopsis thaliana, accumulation of co mrna occurs in late afternoon—a time that is lit only during the long photoperiods of summertime. therefore, only in long photoperiods can the co protein be stabilized by light and trigger the downstream inducers of flowering, namely flowering locus t (ft)."
photoperiod,other,indirect effect,gene expression,gene,PMC10497145,"plants have proved an influential study system for photoperiodism, mainly because the control of flowering time by photoperiod provides a readily observable and quantifiable phenotype."
photoperiod,other,indirect effect,gene expression,gene,PMC10497145,photoperiodic flowering in many higher plants is regulated by the circadian clock-controlled expression of the constans (co) gene [10].
photoperiod,other,indirect effect,gene expression,gene,PMC10497145,"growth is also under the control of photoperiod in plants, and recently, 2 photoperiod-measuring mechanisms that support or promote photoperiodic growth have been discovered."
phytochrome-interacting factors (pifs),protein,activation,arabidopsis thaliana homeobox protein 2 (athb2),gene,PMC10497145,"photoperiodic control of hypocotyl elongation by phytochrome-interacting factors (pifs) relies on a coincidence mechanism, similar to the co-ft regulon, although pifs have a wide variety of functions apart from regulating genes in a photoperiodic manner [14]. the circadian clock phases the expression of pif4/5 to the morning and late night, but the pif4/5 proteins are only stabilized in the dark and thus promote nighttime expression of growth-regulating genes, namely arabidopsis thaliana homeobox protein 2 (athb2) [15–18]."
photoperiod,other,indirect effect,gene expression,gene,PMC10497145,"recently, a metabolic daylength measurement (mdlm) system was shown to support rosette fresh weight generation in long days and short days [19–22]. this system relies on the photoperiodic control of sucrose and starch allocation in order to control expression of the genes phloem protein 2-a13 (pp2-a13) [21] and myo-inostol-1 phosphate synthase 1 (mips1) [22], which are required to support short- and long-day vegetative growth, respectively."
photoperiod,other,indirect effect,gene expression,gene,PMC10497145,"like the co-ft and pif regulatory modules, the mdlm system requires a functional circadian clock for photoperiod measurement, although the molecular connections between the clock and metabolism for this system have not been identified."
empfindlicher im dunkelroten licht 1 (eid1),protein,activation,photoperiodic response,phenotype,PMC10497145,"recently, empfindlicher im dunkelroten licht 1 (eid1) was shown to be required for photoperiodic response of the circadian clock in tomato, but detailed mechanistic understanding of this phenomenon is lacking in many plants [25]."
photoperiod,other,indirect effect,gene expression,gene,PMC10497145,"in the last 30 years, transcriptomics has emerged as an important tool for understanding the breadth of photoperiodic gene regulation. subtractive hybridization was first used to identify photoperiod-regulated genes involved in flowering time [11], and subsequently microarray was used to identify local and global gene expression changes in response to the floral transition [26,27]."
photoperiod,other,indirect effect,gene expression,gene,PMC10497145,"additionally, microarrays were used to track gene expression changes in arabidopsis at dusk and dawn under many photoperiods, and time course studies provided a view of the genes that exhibited altered phasing under long- and short-day photoperiods [23,28]."
photoperiod,other,indirect effect,gene expression,gene,PMC10497145,"transcriptomics have now been implemented to study photoperiodic gene expression in arabidopsis hallerrii [29], panicum hallii [30], wheat [31,32], medicago [33], sugarcane [34], and soybean [35]. these studies have revealed that photoperiodic gene expression changes mainly manifest as changes in phase (i.e., clock genes) or amplitude (i.e., ft or pp2-a13)."
photoperiod,other,indirect effect,gene expression,gene,PMC10497145,"despite these inroads towards understanding photoperiod-responsive transcriptional systems, we still have an incomplete understanding of the genes and cellular processes regulated by photoperiod and the scope of potential photoperiod measuring systems in plants."
photoperiod,other,indirect effect,gene expression,gene,PMC10497145,"deficiencies in studying photoperiodic transcriptomes have been caused by variation in sampling frequency, time points, growth conditions, photoperiod length, and ease of data access. to address this, we performed rna-sequencing on a 24-h arabidopsis time course encompassing 3 photoperiods: 8 h light followed by 16 h dark (8l:16d), 12l:12d, and 16l:8d. we used an rdei and pattern clustering pipeline to identify and classify photoperiod-regulated genes."
photoperiod,other,indirect effect,gene expression,gene,PMC10497145,"furthermore, cis-element analysis was performed to provide further evidence that co-clustered genes share known and de novo transcription factor-binding elements that point towards distinct photoperiodic transcriptional systems."
photoperiod,other,indirect effect,gene expression,gene,PMC10497145,"additionally, gene ontology (go) and kyoto encyclopedia of genes and genomes (kegg) enrichment analyses identified a host of cellular pathways that are potentially controlled by photoperiod in arabidopsis."
photoperiod,other,indirect effect,gene expression,gene,PMC10497145,"we then followed one important cellular pathway, phenylpropanoid biosynthesis, and found a complex regulatory network that differentially controls separate branches of this pathway."
photoperiod,other,indirect effect,gene expression,gene,PMC10497145,"finally, we present “photo-graph,” an app for user-friendly visualization of photoperiod data. together, this work provides a comprehensive examination of photoperiod-responsive transcriptional systems in arabidopsis and suggests that a multitude of networks control important cellular pathways in response to daylength."
photoperiod,other,indirect effect,gene expression,gene,PMC10497145,"with the goal of identifying photoperiod-responsive transcriptional systems in arabidopsis, we wanted to isolate direct target genes of these systems while avoiding downstream developmental, age-related, and tissue type differences that could arise from constant growth in different photoperiods."
photoperiod,other,indirect effect,gene expression,gene,PMC10497145,"we designed a growth regime to capture direct target genes: arabidopsis seedlings were grown for 10 days in equinox (eq; 12l:12d) to ensure equivalent growth, and then shifted to short day (sd; 8l:16d), eq, or long day (ld; 16l:8d) for 2 days prior to collection of whole seedlings, including shoot, hypocotyl, and root (fig 1a)."
photoperiod,other,indirect effect,gene expression,gene,PMC10497145,"we wanted to ensure that the shifted photoperiod growth regime was capturing known photoperiodic gene expression changes. thus, we also collected samples from plants grown in constant sd and ld to compare gene expression between the shifted and constant photoperiod growth regimes (s1 fig)."
photoperiod,other,indirect effect,gene expression,gene,PMC10497145,gene ontology (go) and kyoto encyclopedia of genes and genomes (kegg) enrichment analyses identified a host of cellular pathways that are potentially controlled by photoperiod in arabidopsis.
photoperiod,other,indirect effect,gene expression,gene,PMC10497145,"together, this work provides a comprehensive examination of photoperiod-responsive transcriptional systems in arabidopsis and suggests that a multitude of networks control important cellular pathways in response to daylength."
photoperiod,other,indirect effect,gene expression,gene,PMC10497145,"photoperiod, or daylength, is a robust seasonal cue that is measured by organisms ranging from algae [1] and fungi [2], to higher plants [3] and vertebrates [4]."
photoperiod,other,indirect effect,gene expression,gene,PMC10497145,"lengthening or shortening of photoperiod beyond a normal range seen in a 24-h day can cause a distinct stress response in plants [7,8]."
photoperiod,other,indirect effect,gene expression,gene,PMC10497145,"plants have proved an influential study system for photoperiodism, mainly because the control of flowering time by photoperiod provides a readily observable and quantifiable phenotype."
photoperiod,other,indirect effect,gene expression,gene,PMC10497145,photoperiodic flowering in many higher plants is regulated by the circadian clock-controlled expression of the constans (co) gene [10].
photoperiod,other,indirect effect,gene expression,gene,PMC10497145,"growth is also under the control of photoperiod in plants, and recently, 2 photoperiod-measuring mechanisms that support or promote photoperiodic growth have been discovered."
photoperiod,other,indirect effect,gene expression,gene,PMC10497145,"like the co-ft and pif regulatory modules, the mdlm system requires a functional circadian clock for photoperiod measurement."
photoperiod,other,indirect effect,gene expression,gene,PMC10497145,"deficiencies in studying photoperiodic transcriptomes have been caused by variation in sampling frequency, time points, growth conditions, photoperiod length, and ease of data access."
photoperiod,other,indirect effect,gene expression,gene,PMC10497145,"together, this work provides a comprehensive examination of photoperiod-responsive transcriptional systems in arabidopsis and suggests that a multitude of networks control important cellular pathways in response to daylength."
photoperiod,other,indirect effect,gene expression,gene,PMC10497145,"photoperiod, or daylength, is a robust seasonal cue that is measured by organisms ranging from algae [1] and fungi [2], to higher plants [3] and vertebrates [4]."
photoperiod,other,indirect effect,gene expression,gene,PMC10497145,"lengthening or shortening of photoperiod beyond a normal range seen in a 24-h day can cause a distinct stress response in plants [7,8]."
photoperiod,other,indirect effect,gene expression,gene,PMC10497145,"plants have proved an influential study system for photoperiodism, mainly because the control of flowering time by photoperiod provides a readily observable and quantifiable phenotype."
photoperiod,other,indirect effect,gene expression,gene,PMC10497145,photoperiodic flowering in many higher plants is regulated by the circadian clock-controlled expression of the constans (co) gene [10].
photoperiod,other,indirect effect,gene expression,gene,PMC10497145,"growth is also under the control of photoperiod in plants, and recently, 2 photoperiod-measuring mechanisms that support or promote photoperiodic growth have been discovered."
photoperiod,other,indirect effect,gene expression,gene,PMC10497145,"like the co-ft and pif regulatory modules, the mdlm system requires a functional circadian clock for photoperiod measurement."
photoperiod,other,indirect effect,gene expression,gene,PMC10497145,"deficiencies in studying photoperiodic transcriptomes have been caused by variation in sampling frequency, time points, growth conditions, photoperiod length, and ease of data access."
photoperiod,other,indirect effect,gene expression,gene,PMC10497145,"together, this work provides a comprehensive examination of photoperiod-responsive transcriptional systems in arabidopsis and suggests that a multitude of networks control important cellular pathways in response to daylength."
rogdi,gene,model for,kohlschütter–tönz syndrome,disease,PMC10764811,the rogdi knockout mouse is a model for kohlschütter–tönz syndrome.
rogdi,gene,molecular interaction,kohlschütter–tönz syndrome,disease,PMC10764811,kohlschütter–tönz syndrome (kts) is a rare autosomal recessive disorder caused by mutations in the rogdi gene.
rogdi,gene,expression,brain,tissue,PMC10764811,"rogdi transcript location analysis in wild-type (wt) mice by in situ hybridization experiments at embryonic (e) 8.5–10.5-stage of post coitus development—indicated no early differential domains of rogdi expression. starting at e12.5, we detected enriched rogdi transcripts in neuroepithelium tissues, including the brain, spinal cord, and spinal ganglion."
rogdi,gene,expression,spinal cord,tissue,PMC10764811,"rogdi transcript location analysis in wild-type (wt) mice by in situ hybridization experiments at embryonic (e) 8.5–10.5-stage of post coitus development—indicated no early differential domains of rogdi expression. starting at e12.5, we detected enriched rogdi transcripts in neuroepithelium tissues, including the brain, spinal cord, and spinal ganglion."
rogdi,gene,expression,ameloblasts,cell,PMC10764811,"immunohistochemistry shows rogdi protein is enriched in the ameloblast tomes’ process during the secretory stage of amelogenesis (fig. 2a–c), and present at the apical pole of transition and maturation stage ameloblasts (fig. 2d–f respectively)."
rogdi,gene,molecular interaction,enamel maturation,biological process,PMC10764811,"rogdi−/− teeth exhibit no signs of cyclic dental acidification. additionally, expression changes in wdr72, slc9a3r2, and atp6v0c were identified as potential contributors to these tooth acidification abnormalities."
rogdi,gene,molecular interaction,enamel matrix proteins,protein,PMC10764811,"transcriptomic rna sequencing of postnatal day 5 lower incisors showed downregulated enamel matrix proteins enam, amelx, and ambn."
rogdi,gene,molecular interaction,tooth acidification,biological process,PMC10764811,"rogdi−/− teeth exhibit no signs of cyclic dental acidification. additionally, expression changes in wdr72, slc9a3r2, and atp6v0c were identified as potential contributors to these tooth acidification abnormalities."
rogdi,gene,complex formation,v-atpase complex,complex,PMC10764811,these proteins interact through the acidifying v‑atpase complex.
rogdi,gene,expression,hippocampus,brain region,PMC10764811,"enriched expression in the hippocampus (hpc) and cerebellum (ce) (fig. 1i,j). our reanalysis of single-cell transcriptomics data of central nervous system cell populations16 found rogdi enrichment in corticostriatal neurons, corticospinal neurons, neurons (cck), stellate and basket cells, unipolar brush cells, and granule cells (see supplementary table s1)."
